town_id,town_name,act_add,eff_add,date
donglin,东林镇,0.0,0.0,2026-02-11
dongfeng,东风镇,0.0,0.0,2026-02-11
fengshan,丰山乡,0.0,0.0,2026-02-11
leye,乐业乡,0.0,0.0,2026-02-11
lunhe,伦河镇,0.0,0.0,2026-02-11
gonghe,共合镇,0.0,0.0,2026-02-11
gongrong,共荣镇,0.0,0.0,2026-02-11
qianjin,前进镇,0.0,0.0,2026-02-11
nangang,南岗,0.0,0.0,2026-02-11
shuanglu,双录乡,0.0,0.0,2026-02-11
xiangrong,向荣镇,0.0,0.0,2026-02-11
zhayinhe,扎音河乡,0.0,0.0,2026-02-11
songbei,松北,0.0,0.0,2026-02-11
yonghe,永和镇,0.0,0.0,2026-02-11
yongfu,永富镇,0.0,0.0,2026-02-11
hlnc,海伦农场,0.0,0.0,2026-02-11
hailun,海伦镇,0.0,0.0,2026-02-11
haixing,海兴镇,0.0,0.0,2026-02-11
haibei,海北镇,0.0,0.0,2026-02-11
hainan,海南乡,0.0,0.0,2026-02-11
aimin,爱民乡,0.0,0.0,2026-02-11
baixiang,百祥镇,0.0,0.0,2026-02-11
xiangfu,祥富镇,0.0,0.0,2026-02-11
fumin,福民乡,0.0,0.0,2026-02-11
hgnc,红光农场,0.0,0.0,2026-02-11
lianfa,联发镇,0.0,0.0,2026-02-11
changfa,长发镇,0.0,0.0,2026-02-11
